,L2,time,entropy,M,N,S,std,jump,jump_prob,epsi,subsample,EMML_itr,E
0,1.32197146537531,147.787653923035,2.37931432550329E+038,20,50,300,0.05,0.3,0.5,0.001,1,5000,200
1,0.841365246693301,127.046368360519,8.55112866369384E+036,20,50,300,0.05,0.3,0.5,0.0025,1,5000,200
2,1.04086846562642,123.145728588104,2.44761628672909E+038,20,50,300,0.05,0.3,0.5,0.01,1,5000,200
3,1.37238976860644,146.238165855408,2.49071113571218E+038,20,56,300,0.05,0.3,0.5,0.001,1,5000,200
4,0.867982787394135,110.726701259613,2.75759003463E+038,20,56,300,0.05,0.3,0.5,0.0025,1,5000,200
5,0.976966950585741,129.706717729568,8.07157357097287E+037,20,56,300,0.05,0.3,0.5,0.01,1,5000,200
6,1.14453173656858,151.698565244675,2.02446023823399E+038,20,63,300,0.05,0.3,0.5,0.001,1,5000,200
7,0.886460620123891,103.498208522797,9.00728607837342E+037,20,63,300,0.05,0.3,0.5,0.0025,1,5000,200
8,0.936931682021931,107.096981048584,9.4828918869154E+037,20,63,300,0.05,0.3,0.5,0.01,1,5000,200
9,1.27458542422741,120.840921401978,1.42468632155729E+038,20,72,300,0.05,0.3,0.5,0.001,1,5000,200
10,0.768548156260948,163.884002685547,2.94896096463999E+038,20,72,300,0.05,0.3,0.5,0.0025,1,5000,200
11,0.97465810049087,162.87165594101,2.05458793521378E+038,20,72,300,0.05,0.3,0.5,0.01,1,5000,200
12,1.19423291074258,213.085108280182,2.52418647929878E+038,20,81,300,0.05,0.3,0.5,0.001,1,5000,200
13,0.683085215740753,159.225862503052,8.25559687734527E+037,20,81,300,0.05,0.3,0.5,0.0025,1,5000,200
14,0.939253897151288,125.392575025559,3.02796557865445E+038,20,81,300,0.05,0.3,0.5,0.01,1,5000,200
15,1.07892092424474,167.783017635345,1.66811481128298E+038,20,91,300,0.05,0.3,0.5,0.001,1,5000,200
16,0.809725186810101,152.753091335297,3.06050093353777E+038,20,91,300,0.05,0.3,0.5,0.0025,1,5000,200
17,0.94176818190712,144.855498552322,1.70671080056085E+038,20,91,300,0.05,0.3,0.5,0.01,1,5000,200
18,1.01052443205178,166.460937023163,1.33226664424068E+038,20,103,300,0.05,0.3,0.5,0.001,1,5000,200
19,0.770352964642432,165.799834251404,2.04020743626443E+038,20,103,300,0.05,0.3,0.5,0.0025,1,5000,200
20,0.954998619412218,161.753376245499,4.50347395571776E+037,20,103,300,0.05,0.3,0.5,0.01,1,5000,200
21,0.937451503482337,192.602669239044,2.77318852880641E+038,20,117,300,0.05,0.3,0.5,0.001,1,5000,200
22,0.680819478727662,240.761758565903,1.40668039859581E+038,20,117,300,0.05,0.3,0.5,0.0025,1,5000,200
23,0.913936187226836,201.730452537537,1.19562818091684E+038,20,117,300,0.05,0.3,0.5,0.01,1,5000,200
24,0.991731860262666,222.784446001053,5.32891777416766E+037,20,132,300,0.05,0.3,0.5,0.001,1,5000,200
25,0.659707954858377,214.061408042908,2.91171168734435E+038,20,132,300,0.05,0.3,0.5,0.0025,1,5000,200
