,L2,time,entropy,M,N,S,std,jump,jump_prob,epsi,subsample,EMML_itr,E
0,3.52220757684721,59.5053148269653,1.23481489212208E+037,1,20,300,0.01,0.3,0.5,0.01,1,5000,200
1,2.32682907773918,52.0695304870606,2.24310881596984E+038,1,20,300,0.025,0.3,0.5,0.01,1,5000,200
2,1.26206445416362,50.4253900051117,1.66308338439909E+038,1,20,300,0.05,0.3,0.5,0.01,1,5000,200
3,3.54399792786512,60.9703462123871,1.2895830565304E+038,2,20,300,0.01,0.3,0.5,0.01,1,5000,200
4,2.00192905162519,60.1060798168182,1.59423139445135E+038,2,20,300,0.025,0.3,0.5,0.01,1,5000,200
5,1.23960059468463,57.0675187110901,2.58288740617942E+038,2,20,300,0.05,0.3,0.5,0.01,1,5000,200
6,3.57326912872598,58.1507477760315,4.88742026758213E+037,3,20,300,0.01,0.3,0.5,0.01,1,5000,200
7,1.89306568487685,51.7680776119232,1.11740601045641E+038,3,20,300,0.025,0.3,0.5,0.01,1,5000,200
8,1.27020465091322,54.9647288322449,1.15174434515454E+038,3,20,300,0.05,0.3,0.5,0.01,1,5000,200
9,3.55481622585786,93.1809957027435,1.1430405274791E+038,4,20,300,0.01,0.3,0.5,0.01,1,5000,200
10,1.98197304287434,77.8014645576477,1.35636861271307E+038,4,20,300,0.025,0.3,0.5,0.01,1,5000,200
11,1.19297083183317,53.6256945133209,2.58325774551E+038,4,20,300,0.05,0.3,0.5,0.01,1,5000,200
12,3.53291142613867,48.9959678649902,2.88549323060504E+038,6,20,300,0.01,0.3,0.5,0.01,1,5000,200
13,2.040458239557,46.319539308548,1.95179537061123E+038,6,20,300,0.025,0.3,0.5,0.01,1,5000,200
14,1.11224203240806,48.6654231548309,1.14015687749815E+038,6,20,300,0.05,0.3,0.5,0.01,1,5000,200
15,3.46594765714128,47.9045321941376,1.01424895741712E+037,8,20,300,0.01,0.3,0.5,0.01,1,5000,200
16,1.99832995149857,62.6605186462402,1.06937676881128E+038,8,20,300,0.025,0.3,0.5,0.01,1,5000,200
17,1.17380944931092,44.7845630645752,9.98178978585387E+037,8,20,300,0.05,0.3,0.5,0.01,1,5000,200
18,3.49862915239555,38.9930613040924,3.0334532060135E+038,10,20,300,0.01,0.3,0.5,0.01,1,5000,200
19,1.99071066308885,53.6624023914337,1.69181204869599E+037,10,20,300,0.025,0.3,0.5,0.01,1,5000,200
20,1.16321567107967,54.197215795517,1.11845705427266E+038,10,20,300,0.05,0.3,0.5,0.01,1,5000,200
21,3.59575345679253,35.9441273212433,1.62084845933812E+038,13,20,300,0.01,0.3,0.5,0.01,1,5000,200
22,1.96461636432208,33.7933807373047,2.69702332357259E+038,13,20,300,0.025,0.3,0.5,0.01,1,5000,200
23,1.26886752242411,36.401198387146,6.58553844884022E+037,13,20,300,0.05,0.3,0.5,0.01,1,5000,200
24,3.47906838900772,34.5112454891205,3.26638682061101E+038,17,20,300,0.01,0.3,0.5,0.01,1,5000,200
25,1.9987006352935,36.9316210746765,1.41612183624837E+038,17,20,300,0.025,0.3,0.5,0.01,1,5000,200
26,1.28519062602056,36.792676448822,3.71659209062411E+037,17,20,300,0.05,0.3,0.5,0.01,1,5000,200
27,3.48761438134545,50.4162900447846,2.8739383612986E+038,22,20,300,0.01,0.3,0.5,0.01,1,5000,200
28,2.04386930966664,37.3974556922913,1.69881082941959E+038,22,20,300,0.025,0.3,0.5,0.01,1,5000,200
29,1.2222437181614,35.290337562561,2.58714151653573E+038,22,20,300,0.05,0.3,0.5,0.01,1,5000,200
30,3.4972919703452,37.5011489391327,5.44914983957528E+037,29,20,300,0.01,0.3,0.5,0.01,1,5000,200
31,1.97367727884279,33.7096104621887,1.76536173758995E+038,29,20,300,0.025,0.3,0.5,0.01,1,5000,200
32,1.10563695547318,38.6809847354889,1.18961752550471E+038,29,20,300,0.05,0.3,0.5,0.01,1,5000,200
33,3.48309284103192,66.7924749851227,2.6135347388979E+038,38,20,300,0.01,0.3,0.5,0.01,1,5000,200
34,1.90603140766673,72.8673121929169,7.97537207835778E+037,38,20,300,0.025,0.3,0.5,0.01,1,5000,200
35,1.20984279032008,34.2857320308685,2.26057487622512E+038,38,20,300,0.05,0.3,0.5,0.01,1,5000,200
36,3.47860176171949,42.0093066692352,6.5347926120955E+037,49,20,300,0.01,0.3,0.5,0.01,1,5000,200
37,1.96937891318034,36.6475505828857,1.04660708789298E+038,49,20,300,0.025,0.3,0.5,0.01,1,5000,200
38,1.17442862861469,40.3162293434143,2.63316292401015E+038,49,20,300,0.05,0.3,0.5,0.01,1,5000,200
39,3.48903765835008,38.1550121307373,3.22451268560281E+038,64,20,300,0.01,0.3,0.5,0.01,1,5000,200
40,1.93813127147778,38.8161027431488,2.13015051367613E+038,64,20,300,0.025,0.3,0.5,0.01,1,5000,200
41,1.1572934559377,38.2237913608551,3.19518450706977E+038,64,20,300,0.05,0.3,0.5,0.01,1,5000,200
42,3.49868230572782,82.6846342086792,9.85181404329636E+037,1,20,300,0.01,0.3,0.5,0.01,1,5000,200
43,1.97991807380584,77.1945676803589,2.81980742974912E+038,1,20,300,0.025,0.3,0.5,0.01,1,5000,200
44,1.25955459433603,41.0030243396759,3.21227462320156E+038,1,20,300,0.05,0.3,0.5,0.01,1,5000,200
45,3.48777992759508,46.1619033813477,1.70679604071316E+038,2,20,300,0.01,0.3,0.5,0.01,1,5000,200
46,2.03730052459616,51.5967824459076,8.98141823869903E+036,2,20,300,0.025,0.3,0.5,0.01,1,5000,200
47,1.31455640571978,49.9271674156189,2.81163503750699E+038,2,20,300,0.05,0.3,0.5,0.01,1,5000,200
48,3.54089806653181,51.7140254974365,1.65254616688313E+038,3,20,300,0.01,0.3,0.5,0.01,1,5000,200
49,1.95904249343299,49.9011058807373,7.9862861499792E+037,3,20,300,0.025,0.3,0.5,0.01,1,5000,200
50,1.27011596720742,48.336982011795,2.48102059976112E+038,3,20,300,0.05,0.3,0.5,0.01,1,5000,200
51,3.51956995987814,52.5302679538727,1.05198436751408E+038,4,20,300,0.01,0.3,0.5,0.01,1,5000,200
52,1.92426070895074,56.1171503067017,1.20563351975695E+038,4,20,300,0.025,0.3,0.5,0.01,1,5000,200
53,1.17110104479317,54.2456932067871,2.31183937671939E+038,4,20,300,0.05,0.3,0.5,0.01,1,5000,200
54,3.53182122900743,44.066778421402,3.37235309570076E+038,6,20,300,0.01,0.3,0.5,0.01,1,5000,200
55,1.92424393455523,44.1306822299957,7.67640271056282E+037,6,20,300,0.025,0.3,0.5,0.01,1,5000,200
56,1.08638373962548,49.3492007255554,1.31212339609669E+038,6,20,300,0.05,0.3,0.5,0.01,1,5000,200
57,3.48730174093609,42.9027287960053,5.61050805212991E+037,8,20,300,0.01,0.3,0.5,0.01,1,5000,200
58,1.98249152905446,41.0351147651672,3.28387083333578E+038,8,20,300,0.025,0.3,0.5,0.01,1,5000,200
59,1.21338332529566,37.4821741580963,6.57042303414082E+037,8,20,300,0.05,0.3,0.5,0.01,1,5000,200
60,3.50990721220184,34.8794853687286,2.81348432995688E+038,10,20,300,0.01,0.3,0.5,0.01,1,5000,200
61,1.97637195114579,34.1707305908203,3.03096685212977E+037,10,20,300,0.025,0.3,0.5,0.01,1,5000,200
62,1.14282057331224,34.7714314460754,1.21978552566354E+038,10,20,300,0.05,0.3,0.5,0.01,1,5000,200
63,3.49377516442872,33.07412981987,1.07478645017091E+037,13,20,300,0.01,0.3,0.5,0.01,1,5000,200
64,2.04726756376742,34.5177700519562,1.14997989883441E+037,13,20,300,0.025,0.3,0.5,0.01,1,5000,200
65,1.08603939268957,35.4476866722107,1.31979372203659E+038,13,20,300,0.05,0.3,0.5,0.01,1,5000,200
66,3.48621165505487,33.7748889923096,1.02917273086481E+038,17,20,300,0.01,0.3,0.5,0.01,1,5000,200
67,1.97347599385155,33.3844563961029,2.18947516279838E+038,17,20,300,0.025,0.3,0.5,0.01,1,5000,200
68,1.20360933048511,33.0329899787903,2.73382633962649E+038,17,20,300,0.05,0.3,0.5,0.01,1,5000,200
69,3.51865330191173,34.8433899879456,5.27485267769213E+037,22,20,300,0.01,0.3,0.5,0.01,1,5000,200
70,1.95860354546327,34.1586000919342,1.54469109164271E+038,22,20,300,0.025,0.3,0.5,0.01,1,5000,200
71,1.06550709958968,33.2718684673309,1.1628011552593E+038,22,20,300,0.05,0.3,0.5,0.01,1,5000,200
72,3.47906060491688,34.0897016525269,1.59293874407998E+038,29,20,300,0.01,0.3,0.5,0.01,1,5000,200
73,1.92807702923662,33.8551445007324,4.34333022472823E+037,29,20,300,0.025,0.3,0.5,0.01,1,5000,200
74,1.13533871393177,37.4652078151703,7.4871281676107E+037,29,20,300,0.05,0.3,0.5,0.01,1,5000,200
75,3.48661204005527,37.8916182518005,2.47243744358897E+038,38,20,300,0.01,0.3,0.5,0.01,1,5000,200
76,1.91624664920935,36.8475909233093,8.30138984772119E+037,38,20,300,0.025,0.3,0.5,0.01,1,5000,200
77,1.25265773457797,37.546021938324,2.35759167580491E+038,38,20,300,0.05,0.3,0.5,0.01,1,5000,200
78,3.4672758171632,37.6401746273041,2.27900658076941E+038,49,20,300,0.01,0.3,0.5,0.01,1,5000,200
79,1.94805846993708,36.9366774559021,1.51247311533911E+038,49,20,300,0.025,0.3,0.5,0.01,1,5000,200
80,1.18305974273797,38.6720502376556,3.12377708777184E+038,49,20,300,0.05,0.3,0.5,0.01,1,5000,200
81,3.49457882178578,39.6250004768372,2.53117638752927E+037,64,20,300,0.01,0.3,0.5,0.01,1,5000,200
82,2.02222060592444,38.5846164226532,2.31748780043058E+038,64,20,300,0.025,0.3,0.5,0.01,1,5000,200
83,1.1117684742935,39.1981780529022,3.37885322692896E+038,64,20,300,0.05,0.3,0.5,0.01,1,5000,200
84,3.47689703311891,187.745345830917,2.02774089167895E+038,83,20,300,0.01,0.3,0.5,0.01,1,20000,200
85,2.00188558507499,270.641295671463,2.3760531096158E+038,83,20,300,0.025,0.3,0.5,0.01,1,20000,200
86,1.20706938210823,211.639617204666,3.34761314396303E+038,83,20,300,0.05,0.3,0.5,0.01,1,20000,200
87,3.50814276064795,254.119404792786,1.39713347213208E+038,107,20,300,0.01,0.3,0.5,0.01,1,20000,200
88,1.95239084247432,162.557021379471,2.82204844196517E+038,107,20,300,0.025,0.3,0.5,0.01,1,20000,200
89,1.11385660867216,269.183426141739,1.19783696110775E+038,107,20,300,0.05,0.3,0.5,0.01,1,20000,200
90,3.50010669177047,169.19466137886,1.35455297003568E+038,139,20,300,0.01,0.3,0.5,0.01,1,20000,200
91,1.96947723438103,174.18264913559,2.02047812900033E+038,139,20,300,0.025,0.3,0.5,0.01,1,20000,200
92,1.23379070612658,278.796820640564,1.1578309845031E+038,139,20,300,0.05,0.3,0.5,0.01,1,20000,200
93,3.50209145765364,240.596856117248,2.44259530339755E+038,181,20,300,0.01,0.3,0.5,0.01,1,20000,200
94,2.02498734603344,174.380237579346,3.09696332743685E+038,181,20,300,0.025,0.3,0.5,0.01,1,20000,200
